country,unMember,pop2023,pop2024,continent
Afghanistan,TRUE,42239854,43372950,Asia
Albania,TRUE,2832439,2826020,Europe
Algeria,TRUE,45606480,46278751,Africa
American Samoa,FALSE,43914,43544,Oceania
Andorra,TRUE,80088,80341,Europe
Angola,TRUE,36684202,37804634,Africa
Anguilla,FALSE,15899,15936,North America
Antigua and Barbuda,TRUE,94298,94816,North America
Argentina,TRUE,45773884,46057866,South America
Armenia,TRUE,2777970,2777979,Asia
Aruba,FALSE,106277,106177,North America
Australia,TRUE,26439111,26699482,Oceania
Austria,TRUE,8958960,8977139,Europe
Azerbaijan,TRUE,10412651,10462904,Asia
Bahamas,TRUE,412623,415223,North America
Bahrain,TRUE,1485509,1498712,Asia
Bangladesh,TRUE,172954319,174701211,Asia
Barbados,TRUE,281995,282309,North America
Belarus,TRUE,9498238,9455037,Europe
Belgium,TRUE,11686140,11715774,Europe
Belize,TRUE,410825,416656,North America
Benin,TRUE,13712828,14080072,Africa
Bermuda,FALSE,64069,63935,North America
Bhutan,TRUE,787424,792382,Asia
Bolivia,TRUE,12388571,12567336,South America
Bosnia and Herzegovina,TRUE,3210847,3194378,Europe
Botswana,TRUE,2675352,2719694,Africa
Brazil,TRUE,216422446,217637297,South America
British Virgin Islands,FALSE,31538,31763,North America
Brunei,TRUE,452524,455858,Asia
Bulgaria,TRUE,6687717,6618615,Europe
Burkina Faso,TRUE,23251485,23840247,Africa
Burundi,TRUE,13238559,13591657,Africa
Cambodia,TRUE,16944826,17121847,Asia
Cameroon,TRUE,28647293,29394433,Africa
Canada,TRUE,38781291,39107046,North America
Cape Verde,TRUE,598682,604461,Africa
Cayman Islands,FALSE,69310,69885,North America
Central African Republic,TRUE,5742315,5915627,Africa
Chad,TRUE,18278568,18847148,Africa
Chile,TRUE,19629590,19658839,South America
China,TRUE,1425671352,1425178782,Asia
Colombia,TRUE,52085168,52340774,South America
Comoros,TRUE,852075,867605,Africa
Cook Islands,FALSE,17044,17072,Oceania
Costa Rica,TRUE,5212173,5246714,North America
Croatia,TRUE,4008617,3986627,Europe
Cuba,TRUE,11194449,11174587,North America
Curacao,FALSE,192077,192965,North America
Cyprus,TRUE,1260138,1268467,Europe
Czech Republic,TRUE,10495295,10503734,Europe
Denmark,TRUE,5910913,5939695,Europe
Djibouti,TRUE,1136455,1152329,Africa
Dominica,TRUE,73040,73368,North America
Dominican Republic,TRUE,11332972,11434005,North America
DR Congo,TRUE,102262808,105625114,Africa
Ecuador,TRUE,18190484,18377367,South America
Egypt,TRUE,112716598,114484252,Africa
El Salvador,TRUE,6364943,6396289,North America
Equatorial Guinea,TRUE,1714671,1754993,Africa
Eritrea,TRUE,3748901,3817651,Africa
Estonia,TRUE,1322765,1319041,Europe
Eswatini,TRUE,1210822,1222075,Africa
Ethiopia,TRUE,126527060,129719719,Africa
Falkland Islands,FALSE,3791,3803,South America
Faroe Islands,FALSE,53270,53444,Europe
Fiji,TRUE,936375,943072,Oceania
Finland,TRUE,5545475,5549886,Europe
France,TRUE,64756584,64881830,Europe
French Guiana,FALSE,312155,319796,South America
French Polynesia,FALSE,308872,311383,Oceania
Gabon,TRUE,2436566,2484557,Africa
Gambia,TRUE,2773168,2841803,Africa
Georgia,TRUE,3728282,3717425,Asia
Germany,TRUE,83294633,83252474,Europe
Ghana,TRUE,34121985,34777522,Africa
Gibraltar,FALSE,32688,32718,Europe
Greece,TRUE,10341277,10302720,Europe
Greenland,FALSE,56643,56789,North America
Grenada,TRUE,126183,126887,North America
Guadeloupe,FALSE,395839,396346,North America
Guam,FALSE,172952,174114,Oceania
Guatemala,TRUE,18092026,18358430,North America
Guernsey,FALSE,63544,63788,Europe
Guinea,TRUE,14190612,14528770,Africa
Guinea-Bissau,TRUE,2150842,2197149,Africa
Guyana,TRUE,813834,819594,South America
Haiti,TRUE,11724763,11867030,North America
Honduras,TRUE,10593798,10759406,North America
Hong Kong,FALSE,7491609,7496681,Asia
Hungary,TRUE,10156239,9994993,Europe
Iceland,TRUE,375318,377689,Europe
India,TRUE,1428627663,1441719852,Asia
Indonesia,TRUE,277534122,279798049,Asia
Iran,TRUE,89172767,89809781,Asia
Iraq,TRUE,45504560,46523657,Asia
Ireland,TRUE,5056935,5089478,Europe
Isle of Man,FALSE,84710,84904,Europe
Israel,TRUE,9174520,9311652,Asia
Italy,TRUE,58870762,58697744,Europe
Ivory Coast,TRUE,28873034,29603302,Africa
Jamaica,TRUE,2825544,2824738,North America
Japan,TRUE,123294513,122631432,Asia
Jersey,FALSE,111802,112843,Europe
Jordan,TRUE,11337052,11384922,Asia
Kazakhstan,TRUE,19606633,19828165,Asia
Kenya,TRUE,55100586,56203030,Africa
Kiribati,TRUE,133515,135763,Oceania
Kuwait,TRUE,4310108,4349380,Asia
Kyrgyzstan,TRUE,6735347,6839606,Asia
Laos,TRUE,7633779,7736681,Asia
Latvia,TRUE,1830211,1810240,Europe
Lebanon,TRUE,5353930,5219044,Asia
Lesotho,TRUE,2330318,2356083,Africa
Liberia,TRUE,5418377,5536949,Africa
Libya,TRUE,6888388,6964197,Africa
Liechtenstein,TRUE,39584,39822,Europe
Lithuania,TRUE,2718352,2692798,Europe
Luxembourg,TRUE,654768,661594,Europe
Macau,FALSE,704149,713082,Asia
Madagascar,TRUE,30325732,31056610,Africa
Malawi,TRUE,20931751,21475962,Africa
Malaysia,TRUE,34308525,34671895,Asia
Maldives,TRUE,521021,517887,Asia
Mali,TRUE,23293698,24015789,Africa
Malta,TRUE,535064,536740,Europe
Marshall Islands,TRUE,41996,42415,Oceania
Martinique,FALSE,366981,366416,North America
Mauritania,TRUE,4862989,4993922,Africa
Mauritius,TRUE,1300557,1301978,Africa
Mayotte,FALSE,335995,345996,Africa
Mexico,TRUE,128455567,129388467,North America
Micronesia,TRUE,115224,116300,Oceania
Moldova,TRUE,3435931,3329865,Europe
Monaco,TRUE,36297,36157,Europe
Mongolia,TRUE,3447157,3493629,Asia
Montenegro,TRUE,626485,626102,Europe
Montserrat,FALSE,4386,4372,North America
Morocco,TRUE,37840044,38211459,Africa
Mozambique,TRUE,33897354,34858402,Africa
Myanmar,TRUE,54577997,54964694,Asia
Namibia,TRUE,2604172,2645805,Africa
Nauru,TRUE,12780,12884,Oceania
Nepal,TRUE,30896590,31240315,Asia
Netherlands,TRUE,17618299,17671125,Europe
New Caledonia,FALSE,292991,295966,Oceania
New Zealand,TRUE,5228100,5269939,Oceania
Nicaragua,TRUE,7046310,7142529,North America
Niger,TRUE,27202843,28238972,Africa
Nigeria,TRUE,223804632,229152217,Africa
Niue,FALSE,1935,1935,Oceania
North Korea,TRUE,26160821,26244582,Asia
North Macedonia,TRUE,2085679,2082706,Europe
Northern Mariana Islands,FALSE,49796,50025,Oceania
Norway,TRUE,5474360,5514477,Europe
Oman,TRUE,4644384,4713553,Asia
Pakistan,TRUE,240485658,245209815,Asia
Palau,TRUE,18058,18051,Oceania
Palestine,TRUE,5371230,5494963,Asia
Panama,TRUE,4468087,4527961,North America
Papua New Guinea,TRUE,10329931,10515788,Oceania
Paraguay,TRUE,6861524,6947270,South America
Peru,TRUE,34352719,34683444,South America
Philippines,TRUE,117337368,119106224,Asia
Poland,TRUE,41026067,40221726,Europe
Portugal,TRUE,10247605,10223349,Europe
Puerto Rico,FALSE,3260314,3268802,North America
Qatar,TRUE,2716391,2737061,Asia
Republic of the Congo,TRUE,6106869,6244547,Africa
Reunion,FALSE,981796,989350,Africa
Romania,TRUE,19892812,19618996,Europe
Russia,TRUE,144444359,143957079,Europe
Rwanda,TRUE,14094683,14414910,Africa
Saint Barthelemy,FALSE,10994,11019,North America
Saint Kitts and Nevis,TRUE,47755,47847,North America
Saint Lucia,TRUE,180251,180805,North America
Saint Martin,FALSE,32077,32337,North America
Saint Pierre and Miquelon,FALSE,5840,5815,North America
Saint Vincent and the Grenadines,TRUE,103698,103683,North America
Samoa,TRUE,225681,228966,Oceania
San Marino,TRUE,33642,33614,Europe
Sao Tome and Principe,TRUE,231856,236381,Africa
Saudi Arabia,TRUE,36947025,37473929,Asia
Senegal,TRUE,17763163,18221567,Africa
Serbia,TRUE,7149077,7097028,Europe
Seychelles,TRUE,107660,108263,Africa
Sierra Leone,TRUE,8791092,8977972,Africa
Singapore,TRUE,6014723,6052709,Asia
Sint Maarten,FALSE,44222,44309,North America
Slovakia,TRUE,5795199,5702832,Europe
Slovenia,TRUE,2119675,2118965,Europe
Solomon Islands,TRUE,740424,756673,Oceania
Somalia,TRUE,18143378,18706922,Africa
South Africa,TRUE,60414495,61020221,Africa
South Korea,TRUE,51784059,51741963,Asia
South Sudan,TRUE,11088796,11277092,Africa
Spain,TRUE,47519628,47473373,Europe
Sri Lanka,TRUE,21893579,21949268,Asia
Sudan,TRUE,48109006,49358228,Africa
Suriname,TRUE,623236,628785,South America
Sweden,TRUE,10612086,10673669,Europe
Switzerland,TRUE,8796669,8851431,Europe
Syria,TRUE,23227014,24348053,Asia
Taiwan,FALSE,23923276,23950214,Asia
Tajikistan,TRUE,10143543,10331513,Asia
Tanzania,TRUE,67438106,69419073,Africa
Thailand,TRUE,71801279,71885799,Asia
Timor-Leste,TRUE,1360596,1379883,Asia
Togo,TRUE,9053799,9260864,Africa
Tokelau,FALSE,1893,1915,Oceania
Tonga,TRUE,107773,108683,Oceania
Trinidad and Tobago,TRUE,1534937,1538200,North America
Tunisia,TRUE,12458223,12564689,Africa
Turkey,TRUE,85816199,86260417,Asia
Turkmenistan,TRUE,6516100,6598071,Asia
Turks and Caicos Islands,FALSE,46062,46431,North America
Tuvalu,TRUE,11396,11478,Oceania
Uganda,TRUE,48582334,49924252,Africa
Ukraine,TRUE,36744634,37937821,Europe
United Arab Emirates,TRUE,9516871,9591853,Asia
United Kingdom,TRUE,67736802,67961439,Europe
United States,TRUE,339996563,341814420,North America
United States Virgin Islands,FALSE,98750,98055,North America
Uruguay,TRUE,3423108,3423316,South America
Uzbekistan,TRUE,35163944,35673804,Asia
Vanuatu,TRUE,334506,342325,Oceania
Vatican City,TRUE,764,764,Europe
Venezuela,TRUE,28838499,29395334,South America
Vietnam,TRUE,98858950,99497680,Asia
Wallis and Futuna,FALSE,11502,11439,Oceania
Western Sahara,FALSE,587259,598385,Africa
Yemen,TRUE,34449825,35219853,Asia
Zambia,TRUE,20569737,21134695,Africa
Zimbabwe,TRUE,16665409,17020321,Africa
